experiments,subjects,phases,blocks,pairtypes,accuracys
Experiment 1 No Delay,3115,2,3,unique,0.75
Experiment 1 No Delay,3115,2,4,overlapping,1
Experiment 1 No Delay,3115,2,4,unique,1
Experiment 1 No Delay,3115,2,5,overlapping,0.5
Experiment 1 No Delay,3115,2,5,unique,1
Experiment 1 No Delay,3115,3,1,overlapping,0.5
Experiment 1 No Delay,3115,3,1,unique,1
Experiment 1 No Delay,3115,3,2,overlapping,1
Experiment 1 No Delay,3115,3,2,unique,1
Experiment 1 No Delay,3115,3,3,overlapping,1
Experiment 1 No Delay,3115,3,3,unique,1
Experiment 1 No Delay,3115,3,4,overlapping,1
Experiment 1 No Delay,3115,3,4,unique,1
Experiment 1 No Delay,3115,3,5,overlapping,0.75
Experiment 1 No Delay,3115,3,5,unique,1
Experiment 1 No Delay,3118,1,1,overlapping,0.5
Experiment 1 No Delay,3118,1,1,unique,0.25
Experiment 1 No Delay,3118,1,2,overlapping,0.75
Experiment 1 No Delay,3118,1,2,unique,0.75
Experiment 1 No Delay,3118,1,3,overlapping,0.75
Experiment 1 No Delay,3118,1,3,unique,0.75
Experiment 1 No Delay,3118,1,4,overlapping,0.75
Experiment 1 No Delay,3118,1,4,unique,1
Experiment 1 No Delay,3118,1,5,overlapping,1
Experiment 1 No Delay,3118,1,5,unique,1
Experiment 1 No Delay,3118,2,1,overlapping,0.25
Experiment 1 No Delay,3118,2,1,unique,0.75
Experiment 1 No Delay,3118,2,2,overlapping,1
Experiment 1 No Delay,3118,2,2,unique,1
Experiment 1 No Delay,3118,2,3,overlapping,1
Experiment 1 No Delay,3118,2,3,unique,1
Experiment 1 No Delay,3118,2,4,overlapping,1
Experiment 1 No Delay,3118,2,4,unique,1
Experiment 1 No Delay,3118,2,5,overlapping,1
Experiment 1 No Delay,3118,2,5,unique,1
Experiment 1 No Delay,3118,3,1,overlapping,0.75
Experiment 1 No Delay,3118,3,1,unique,1
Experiment 1 No Delay,3118,3,2,overlapping,1
Experiment 1 No Delay,3118,3,2,unique,1
Experiment 1 No Delay,3118,3,3,overlapping,1
Experiment 1 No Delay,3118,3,3,unique,1
Experiment 1 No Delay,3118,3,4,overlapping,1
Experiment 1 No Delay,3118,3,4,unique,1
Experiment 1 No Delay,3118,3,5,overlapping,1
Experiment 1 No Delay,3118,3,5,unique,1
Experiment 1 No Delay,3127,1,1,overlapping,0
Experiment 1 No Delay,3127,1,1,unique,0.5
Experiment 1 No Delay,3127,1,2,overlapping,1
Experiment 1 No Delay,3127,1,2,unique,1
Experiment 1 No Delay,3127,1,3,overlapping,1
Experiment 1 No Delay,3127,1,3,unique,1
Experiment 1 No Delay,3127,1,4,overlapping,1
Experiment 1 No Delay,3127,1,4,unique,1
Experiment 1 No Delay,3127,1,5,overlapping,1
Experiment 1 No Delay,3127,1,5,unique,1
Experiment 1 No Delay,3127,2,1,overlapping,0
Experiment 1 No Delay,3127,2,1,unique,0.25
Experiment 1 No Delay,3127,2,2,overlapping,0.5
Experiment 1 No Delay,3127,2,2,unique,1
Experiment 1 No Delay,3127,2,3,overlapping,0.75
Experiment 1 No Delay,3127,2,3,unique,1
Experiment 1 No Delay,3127,2,4,overlapping,0.75
Experiment 1 No Delay,3127,2,4,unique,1
Experiment 1 No Delay,3127,2,5,overlapping,1
Experiment 1 No Delay,3127,2,5,unique,1
Experiment 1 No Delay,3127,3,1,overlapping,0.75
Experiment 1 No Delay,3127,3,1,unique,1
Experiment 1 No Delay,3127,3,2,overlapping,0.75
Experiment 1 No Delay,3127,3,2,unique,1
Experiment 1 No Delay,3127,3,3,overlapping,1
Experiment 1 No Delay,3127,3,3,unique,1
Experiment 1 No Delay,3127,3,4,overlapping,1
Experiment 1 No Delay,3127,3,4,unique,1
Experiment 1 No Delay,3127,3,5,overlapping,1
Experiment 1 No Delay,3127,3,5,unique,1
Experiment 1 No Delay,3129,1,1,overlapping,0.25
Experiment 1 No Delay,3129,1,1,unique,0.5
Experiment 1 No Delay,3129,1,2,overlapping,1
Experiment 1 No Delay,3129,1,2,unique,0.75
Experiment 1 No Delay,3129,1,3,overlapping,1
Experiment 1 No Delay,3129,1,3,unique,0.75
Experiment 1 No Delay,3129,1,4,overlapping,0.75
Experiment 1 No Delay,3129,1,4,unique,1
Experiment 1 No Delay,3129,1,5,overlapping,1
Experiment 1 No Delay,3129,1,5,unique,0.5
Experiment 1 No Delay,3129,2,1,overlapping,0.5
Experiment 1 No Delay,3129,2,1,unique,0.75
Experiment 1 No Delay,3129,2,2,overlapping,0.75
Experiment 1 No Delay,3129,2,2,unique,1
Experiment 1 No Delay,3129,2,3,overlapping,1
Experiment 1 No Delay,3129,2,3,unique,0.75
Experiment 1 No Delay,3129,2,4,overlapping,0.5
Experiment 1 No Delay,3129,2,4,unique,1
Experiment 1 No Delay,3129,2,5,overlapping,0.75
Experiment 1 No Delay,3129,2,5,unique,1
