Experiment#,Subject#,phase#,block#,pair type#,accuracy#
Experiment 1 Delay After Phase 2,3057,2,5,unique,0.25
Experiment 1 Delay After Phase 2,3057,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3057,3,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,2,unique,1
Experiment 1 Delay After Phase 2,3057,3,3,overlapping,0
Experiment 1 Delay After Phase 2,3057,3,3,unique,0.75
Experiment 1 Delay After Phase 2,3057,3,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3057,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3057,3,5,unique,0.5
Experiment 1 Delay After Phase 2,3059,1,1,overlapping,0.25
Experiment 1 Delay After Phase 2,3059,1,1,unique,0.5
Experiment 1 Delay After Phase 2,3059,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,2,unique,1
Experiment 1 Delay After Phase 2,3059,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,3,unique,0.75
Experiment 1 Delay After Phase 2,3059,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,4,unique,0.75
Experiment 1 Delay After Phase 2,3059,1,5,overlapping,1
Experiment 1 Delay After Phase 2,3059,1,5,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,2,1,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,2,overlapping,0.5
Experiment 1 Delay After Phase 2,3059,2,2,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,2,3,unique,0.75
Experiment 1 Delay After Phase 2,3059,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3059,2,4,unique,1
Experiment 1 Delay After Phase 2,3059,2,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,2,5,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3059,3,2,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3059,3,3,unique,1
Experiment 1 Delay After Phase 2,3059,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3059,3,4,unique,0.75
Experiment 1 Delay After Phase 2,3059,3,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3059,3,5,unique,1
Experiment 1 Delay After Phase 2,3061,1,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,1,unique,0.25
Experiment 1 Delay After Phase 2,3061,1,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,2,unique,1
Experiment 1 Delay After Phase 2,3061,1,3,overlapping,0.5
Experiment 1 Delay After Phase 2,3061,1,3,unique,1
Experiment 1 Delay After Phase 2,3061,1,4,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,4,unique,1
Experiment 1 Delay After Phase 2,3061,1,5,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,1,5,unique,1
Experiment 1 Delay After Phase 2,3061,2,1,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,2,1,unique,1
Experiment 1 Delay After Phase 2,3061,2,2,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,2,2,unique,1
Experiment 1 Delay After Phase 2,3061,2,3,overlapping,0.75
Experiment 1 Delay After Phase 2,3061,2,3,unique,1
Experiment 1 Delay After Phase 2,3061,2,4,overlapping,1
Experiment 1 Delay After Phase 2,3061,2,4,unique,1
Experiment 1 Delay After Phase 2,3061,2,5,overlapping,1
Experiment 1 Delay After Phase 2,3061,2,5,unique,1
Experiment 1 Delay After Phase 2,3061,3,1,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,1,unique,0.75
Experiment 1 Delay After Phase 2,3061,3,2,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,2,unique,1
Experiment 1 Delay After Phase 2,3061,3,3,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,3,unique,1
Experiment 1 Delay After Phase 2,3061,3,4,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,4,unique,1
Experiment 1 Delay After Phase 2,3061,3,5,overlapping,1
Experiment 1 Delay After Phase 2,3061,3,5,unique,1
Experiment 1 Delay After Phase 2,3062,1,1,overlapping,0.5
Experiment 1 Delay After Phase 2,3062,1,1,unique,1
Experiment 1 Delay After Phase 2,3062,1,2,overlapping,1
Experiment 1 Delay After Phase 2,3062,1,2,unique,0.75
Experiment 1 Delay After Phase 2,3062,1,3,overlapping,1
Experiment 1 Delay After Phase 2,3062,1,3,unique,1
Experiment 1 Delay After Phase 2,3062,1,4,overlapping,1
Experiment 1 Delay After Phase 2,3062,1,4,unique,1
